gene_name	num_fimo_hits	num_unique_promoters_hit	best_score	best_p_value	best_q_value
pck-2	57	1	1.42e+01	1.94e-05	2.44e-01
test-1	54	1	1.42e+01	1.94e-05	2.44e-01
col-52	48	1	1.42e+01	1.94e-05	2.44e-01
ntl-11	40	1	1.42e+01	1.94e-05	2.44e-01
vamp-8	40	1	1.42e+01	1.94e-05	2.44e-01
arrd-16	31	1	1.42e+01	1.94e-05	2.44e-01
unc-49	30	1	1.42e+01	1.94e-05	2.44e-01
col-88	28	1	1.42e+01	1.94e-05	2.44e-01
glb-33	24	1	1.42e+01	1.94e-05	2.44e-01
nhr-231	20	1	1.42e+01	1.94e-05	2.44e-01
srw-10	19	1	1.42e+01	1.94e-05	2.44e-01
xbx-4	19	1	1.42e+01	1.94e-05	2.44e-01
snt-5	18	1	1.42e+01	1.94e-05	2.44e-01
srsx-7	18	1	1.42e+01	1.94e-05	2.44e-01
fat-6	18	1	1.25e+01	5.57e-05	3.38e-01
cfp-1	18	1	1.20e+01	7.51e-05	3.38e-01
cdh-12	17	1	1.42e+01	1.94e-05	2.44e-01
cup-14	17	1	1.42e+01	1.94e-05	2.44e-01
shc-1	15	1	1.42e+01	1.94e-05	2.44e-01
fbxa-47	14	1	1.42e+01	1.94e-05	2.44e-01
herc-1	14	1	1.42e+01	1.94e-05	2.44e-01
bre-2	13	1	1.42e+01	1.94e-05	2.44e-01
eri-12	13	1	1.42e+01	1.94e-05	2.44e-01
fbxb-117	13	1	1.42e+01	1.94e-05	2.44e-01
mdf-2	13	1	1.42e+01	1.94e-05	2.44e-01
srh-141	13	1	1.42e+01	1.94e-05	2.44e-01
nlp-40	13	1	1.25e+01	5.57e-05	3.38e-01
cox-6B	12	1	1.42e+01	1.94e-05	2.44e-01
fbxa-48	12	1	1.42e+01	1.94e-05	2.44e-01
gst-19	12	1	1.42e+01	1.94e-05	2.44e-01
uba-1	12	1	1.42e+01	1.94e-05	2.44e-01
rps-8	12	1	1.20e+01	7.51e-05	3.38e-01
hxk-3	11	1	1.42e+01	1.94e-05	2.44e-01
mask-1	11	1	1.25e+01	5.57e-05	3.38e-01
rml-1	11	1	1.25e+01	5.57e-05	3.38e-01
acs-15	10	1	1.42e+01	1.94e-05	2.44e-01
cku-80	10	1	1.42e+01	1.94e-05	2.44e-01
clp-10	10	1	1.42e+01	1.94e-05	2.44e-01
fbxa-194	10	1	1.42e+01	1.94e-05	2.44e-01
golg-2	10	1	1.42e+01	1.94e-05	2.44e-01
lea-1	10	1	1.42e+01	1.94e-05	2.44e-01
mcd-1	10	1	1.42e+01	1.94e-05	2.44e-01
nurf-1	10	1	1.42e+01	1.94e-05	2.44e-01
